index,disease_name,supplement name,supplement image,buy link
0,Apple Healthy Leaf,Engro/Fuji NPK 19:19:19 Fertilizer,https://royalsplant.com/wp-content/uploads/2024/08/NPK-4.jpg,https://www.daraz.pk/catalog/?q=NPK+19+19+19+fertilizer
1,Apple Leaf Scab,Topsin-M (Thiophanate Methyl 70% WP),https://irfarm.com/cdn/shop/files/topson_m_arysta_IR-FARM.webp?v=1765351066&width=1946,https://irfarm.com/products/topsin-m-70wp-fungicide-100gm-arysta-upl?_pos=1&_sid=6a46b82d4&_ss=r
2,Apple Rust Leaf,Score (Difenoconazole 250 EC),https://www.pestcontrolphilippines.com/cdn/shop/files/Score_1024x1024.jpg?v=1761711398,https://www.pestcontrolphilippines.com/products/score-250ec?srsltid=AfmBOoolOmpa8TtUz4SUKrLsWUM8-MvD2NvnMjgSBo7h0MX4o7QFzwh1
3,Bell Pepper Leaf,Engro/Fuji NPK 19:19:19 Fertilizer,https://royalsplant.com/wp-content/uploads/2024/08/NPK-4.jpg,https://www.daraz.pk/catalog/?q=NPK+19+19+19+fertilizer
4,Bell Pepper Leaf Spot,Antracol (Propineb 70 WP),https://irfarm.com/cdn/shop/files/Antracol_Buyer_IR_Farm.png?v=1744272975&width=1946,https://irfarm.com/products/antracol-bayer?_pos=1&_sid=32034c0c4&_ss=r
5,Corn Gray Spot Leaf,Amistar Top (Azoxystrobin + Difenoconazole),https://irfarm.com/cdn/shop/files/Amistar_Top_Syngenta_IR_Farm.webp?v=1744273939&width=1946,https://irfarm.com/products/amistar-top?srsltid=AfmBOooUTUGJq4MjusbrG7te2GFQL3kaMmZlmh-vHS2q36UHHkg-OqrY
6,Corn Rust Leaf,Tilt (Propiconazole 25 EC),https://irfarm.com/cdn/shop/files/agenda_bayer_termiticide_25ec.png?v=1730290581&width=1946,https://irfarm.com/products/agenda-bayer?_pos=1&_sid=dd35a22f3&_ss=r
7,Corn leaf blight,Cabrio Top (Pyraclostrobin + Metiram),https://irfarm.com/cdn/shop/files/CabrioTop600gramFMCFront.webp?v=1757321543&width=1946,https://irfarm.com/products/fmc-cabrio-top-fungicide-600g?_pos=1&_sid=d76b7247f&_ss=r
8,Corn leaf healthy,Engro/Fuji NPK 19:19:19 Fertilizer,https://royalsplant.com/wp-content/uploads/2024/08/NPK-4.jpg,https://www.daraz.pk/catalog/?q=NPK+19+19+19+fertilizer
9,Cotton Bacterial Blight Leaf,Blue Copper (Copper Oxychloride 50 WP),https://irfarm.com/cdn/shop/files/cobox_copper_swat_agro_chemicals_IR_FARM.webp?v=1747290070&width=1946,https://irfarm.com/products/cobox-50wp-1kg-copper-oxychloride-fungicide?_pos=2&_psq=Copper+Oxychloride+50+WP&_ss=e&_v=1.0
